feature,category,note,coverage_count,coverage_start,coverage_end,samples_7d,rank_ic_7d,high_avg_7d,low_avg_7d,spread_7d,best_side_7d,edge_7d,high_hit_up_7d,low_hit_up_7d,samples_20d,rank_ic_20d,high_avg_20d,low_avg_20d,spread_20d,best_side_20d,edge_20d,high_hit_up_20d,low_hit_up_20d,samples_60d,rank_ic_60d,high_avg_60d,low_avg_60d,spread_60d,best_side_60d,edge_60d,high_hit_up_60d,low_hit_up_60d,composite_edge,best_horizon,mean_edge
btc_spx_corr_30d,Macro,higher = macro more likely to dominate BTC tape,3707,2016-01-19,2026-03-13,3700,-0.06779388093177817,0.011761731196335438,0.03189006957068239,-0.020128338374346952,low,0.020128338374346952,0.5405405405405406,0.6121621621621621,3687,-0.08505121838526597,0.025241493350418056,0.08371949330360645,-0.05847799995318839,low,0.05847799995318839,0.5772357723577236,0.6355013550135501,3647,-0.13682728064619484,0.06932697174915994,0.20965124678193228,-0.14032427503277234,low,0.14032427503277234,0.541095890410959,0.684931506849315,0.08354657766925369,60,0.07297687112010255
fear_greed_value,Attention,higher = greedier crowd,2963,2018-02-01,2026-03-13,2956,0.04139170676748546,0.021386406139512336,0.010211595937649294,0.011174810201863042,high,0.011174810201863042,0.55,0.5616666666666666,2943,0.05373958971867477,0.05692241744108904,0.027948941969748828,0.028973475471340215,high,0.028973475471340215,0.5375,0.5620094191522763,2903,0.12741804433016382,0.1779956126595734,0.02540294210613021,0.1525926705534432,high,0.1525926705534432,0.555366269165247,0.48519736842105265,0.07486142045028597,60,0.06424698540888214
open_interest_z_30d,Derivatives,higher = more crowded OI,171,2025-09-23,2026-03-12,165,-0.21369914246787625,-0.02568971594252202,0.007261131835312366,-0.032950847777834386,low,0.032950847777834386,0.45454545454545453,0.6363636363636364,152,-0.29568955501336136,-0.0947880519623213,-0.023640299969988444,-0.07114775199233286,low,0.07114775199233286,0.12903225806451613,0.22580645161290322,112,-0.22426282160795452,-0.23397536623618018,-0.18290225006473299,-0.05107311617144719,low,0.05107311617144719,0.043478260869565216,0.043478260869565216,0.055478516821078905,20,0.05172390531387148
us10y_change_z_90d,Macro,higher = unusual rates shock,3651,2016-03-15,2026-03-13,3644,-0.009166060315138842,0.008018240865178309,0.008776051865694724,-0.0007578110005164156,low,0.0007578110005164156,0.5130315500685871,0.5377229080932785,3631,0.08536504547049886,0.05702372951011514,0.022841698506993843,0.034182031003121296,high,0.034182031003121296,0.6090534979423868,0.5233516483516484,3591,0.062173044392473745,0.15425489693653074,0.07491984722278525,0.0793350497137455,high,0.0793350497137455,0.5811373092926491,0.5118219749652295,0.04555839448685,60,0.03809163057246107
context_score_v2,Bundle,"weighted context score from crypto-native signals plus macro overlays (DXY, rates, funding divergence)",3716,2016-01-10,2026-03-13,3709,0.019677874073251965,0.01864565703435681,0.007292403246217677,0.011353253788139131,high,0.011353253788139131,0.5484293193717278,0.5388739946380697,3696,0.024037549802150796,0.04790651347134248,0.028421042119881893,0.019485471351460584,high,0.019485471351460584,0.5471204188481675,0.5615114235500879,3656,0.09883606737795823,0.1587739815822446,0.08690679007682041,0.07186719150542419,high,0.07186719150542419,0.574607329842932,0.5295186194368756,0.03881171590038174,60,0.034235305548341304
unique_addresses_z_30d,On-chain,higher = more active network,3716,2016-01-10,2026-03-13,3709,0.012049211623557623,0.0198209876305451,0.01001390010694717,0.00980708752359793,high,0.00980708752359793,0.5592991913746631,0.522911051212938,3696,0.03146984501255217,0.058366831598783725,0.034565372205774,0.023801459393009726,high,0.023801459393009726,0.6013513513513513,0.5432432432432432,3656,0.03299187798565939,0.19192167860508003,0.12990429688873664,0.062017381716343384,high,0.062017381716343384,0.6612021857923497,0.5587431693989071,0.03628895394846083,60,0.03187530954431701
perp_premium_daily,Derivatives,higher = richer perp premium,2265,2019-12-31,2026-03-13,2258,0.023442427346425473,0.013347819265686598,0.003823250195609036,0.009524569070077562,high,0.009524569070077562,0.5353982300884956,0.5442477876106194,2245,0.025805334583868123,0.0333563539875341,0.00857517189518046,0.02478118209235364,high,0.02478118209235364,0.532293986636971,0.48775055679287305,2205,0.043544633049426344,0.12330211671773361,0.06291069354675806,0.06039142317097555,high,0.06039142317097555,0.5374149659863946,0.5374149659863946,0.03597395591934719,60,0.03156572477780225
wiki_views_z_30d,Attention,higher = more attention,3714,2016-01-12,2026-03-13,3707,0.0005785579068560734,0.018664820235996516,0.010023254309343928,0.008641565926652588,high,0.008641565926652588,0.545822102425876,0.5350404312668463,3694,0.01909410308444554,0.0439840400675926,0.0259249743546688,0.0180590657129238,high,0.0180590657129238,0.5818673883626523,0.543978349120433,3654,0.08656587671427389,0.1669316271004764,0.10625326896294497,0.06067835813753143,high,0.06067835813753143,0.627906976744186,0.5116279069767442,0.033223282725512615,60,0.029126329925702604
us10y_change_20d_bps,Macro,higher = faster rise in 10Y yield,3693,2016-02-02,2026-03-13,3686,-0.033413967718853764,0.007160021775890096,0.014881668385903608,-0.007721646610013512,low,0.007721646610013512,0.5263870094722598,0.5768194070080862,3673,0.025465149571728105,0.03435173446980292,0.03298729460404675,0.0013644398657561702,high,0.0013644398657561702,0.564276048714479,0.5520974289580515,3633,-0.04283816778435015,0.06795698876256265,0.12437683189501374,-0.05641984313245109,low,0.05641984313245109,0.5213204951856947,0.5844686648501363,0.02465804252128561,60,0.021835309869406922
funding_rate_z_30d,Derivatives,higher = more crowded longs,3582,2016-05-23,2026-03-13,3575,-0.00888419252444147,0.009473508196643688,0.01707178369882216,-0.007598275502178472,low,0.007598275502178472,0.5258741258741259,0.5552447552447553,3562,0.011557577482373481,0.037099816587742966,0.04339006742692765,-0.006290250839184684,low,0.006290250839184684,0.5455820476858345,0.5287517531556802,3522,-0.041923164371251674,0.12123575231768959,0.15911471694481105,-0.03787896462712147,low,0.03787896462712147,0.548936170212766,0.6127659574468085,0.019187341286958155,60,0.01725583032282821
